energy_eV_minus_EF,dos_states_per_eV_per_atom
4.987469,0.72775358
5.037594,0.65551567
5.087719,0.64045608
5.137845,0.50721025
5.187970,0.33367971
5.238095,0.20043306
5.288220,0.13465415
5.338346,0.10983412
5.388471,0.17116147
5.438597,0.19696665
5.488722,0.14384045
5.538847,0.17461677
5.588973,0.22888891
5.639098,0.24373604
5.689223,0.17865384
5.739348,0.13909373
5.789474,0.15177633
5.839599,0.19939314
5.889724,0.17754048
5.939850,0.23389207
5.989975,0.25147131
6.040100,0.21770126
6.090226,0.17118281
6.140351,0.19075938
6.190476,0.28245339
6.240602,0.31319132
6.290727,0.3074562
6.340852,0.28801438
6.390977,0.25718543
6.441103,0.25133842
6.491228,0.27085966
6.541353,0.24086122
6.591479,0.24607231
6.641604,0.19701453
6.691730,0.20661883
6.741855,0.2112869
6.791980,0.17397425
6.842105,0.14063548
6.892231,0.10925224
6.942356,0.079948813
6.992481,0.031935215
7.042606,0.012899319
7.092732,0.0025183256
7.142857,5.8835321e-06
7.192983,0
7.243108,0
7.293233,0
7.343359,0
7.393484,0
7.443609,0
7.493734,0
7.543859,0
7.593985,0
7.644110,0
7.694236,0
7.744361,0
7.794486,0
7.844612,0
7.894737,0
7.944862,0
7.994987,0
8.045113,0
8.095238,0
8.145364,0
8.195489,0
8.245614,0
8.295739,0
8.345864,0
8.395990,0
8.446115,0
8.496241,0
8.546366,0
8.596491,0
8.646617,0
8.696742,0
8.746867,0
8.796992,0
8.847117,0
8.897243,0
8.947369,0
8.997494,0
9.047619,0
9.097744,0
9.147870,0
9.197995,0
9.248120,0
9.298245,0
9.348371,0
9.398497,0
9.448622,0
9.498747,0
9.548872,0
9.598997,0
9.649123,0
9.699248,0
9.749373,0
9.799499,0
9.849624,0
9.899750,0
9.949875,0
10.000000,0
